"","year","Community.Name","PCTUNEMPLD","PCTNODIPLOMA","PCTPOV","PCTFEMALESEPARATD","POPWNPCT","PCTHFOFMNOHS","POP0_5PCT","PCTSPKENGNTWL","PCTFORBRN","PUBLICASSIST","PCT65POV","PCTFMINPOV","PCTCHLDPOV","PCTEMPFEMA","PCTLABFORCE","PCTRECSOC","MED_GRRNT","MED_MTMRG","HUMNR","PCTMBLHM","PCTAGRFRFSH","POPDENS"
"231","2016","Bethel, WA",5.8,4.3,7.7,0,75.1,4.1,4.9,2.2,6.2,1.8,7.8,4.5,8.1,51.2,57.2,34.4,981,1496,5.8,24.2,0,1190.8
"232","2016","Bethpage, NY",3.4,4.4,2.3,1.2,86.2,8.6,4.3,4.5,11.8,2.2,4.7,0.9,0,55.5,64.1,43.3,1559,2958,6.7,0,0.1,4523.9
"233","2016","Beverly Beach, FL",3.8,4.5,5.7,2.3,95.3,5.1,0.5,2.5,7.1,0.9,2.2,4.7,57.1,16.9,25.3,70.4,875,2800,4.6,69.3,0,1197.2
"234","2016","Beverly Hills, CA",5,2.4,10.2,2.3,79.1,6.9,3.5,17.4,38.8,0.7,15.6,7.7,8.1,49.5,63,30.8,1988,4000,4.8,0.2,0,6066.2
"235","2016","Beverly Hills, FL",8.8,11.7,29.4,2,85.6,18.4,5.1,3.2,4.6,3.1,9.8,26.2,41.8,33.1,44.4,58.5,784,758,5,0.4,0.5,3054.9
"236","2016","Beverly, MA",3.9,3.1,7.7,1.8,91.4,9.4,4.2,1.9,6.3,2.2,6.3,4.3,9.4,58.9,68.1,28.9,1113,2243,5.5,0,0.2,2714.6
"237","2016","Beverly, NJ",6.8,8,13.7,3.1,60.9,18.9,6.8,2.5,5.2,5.5,6.2,10,16.6,55.6,63.1,33.4,994,1586,5.5,0,0,4614.3
"238","2016","Bevil Oaks, TX",3.8,2.3,2.7,0,81.8,0.2,3.7,2.1,4.5,0,7.4,2,0,49.5,61.8,41.9,1250,1387,6.4,3.3,2.4,615.8
"239","2016","Biddeford, ME",4,6.9,18.1,1.6,90.3,11.4,6,4.8,6.1,7.7,13.5,10,19.8,62,68.6,31.1,884,1547,5.4,1.9,0.4,709.2
"240","2016","Big Coppitt Key, FL",6.3,4.7,15.3,0,57.9,11.1,8.7,4.9,17.8,1.1,0,6.1,23.3,51.9,68.9,28.9,1570,2219,4,42,0.4,2662.2
"241","2016","Big Lake, AK",6.7,7,11.1,1.8,79.1,9.8,6,1.1,1.4,5.5,5,8.4,16.2,45.3,60.2,25.1,1038,1522,3.6,3.2,5.5,30.8
"242","2016","Big Lake, WA",3.6,6.9,2.5,1.9,86,5.3,3,1.8,3.6,0,0,0,0,51.5,59.4,40.5,950,2081,6.2,5.1,1.3,504.8
"243","2016","Big Pine Key, FL",3.5,4.7,8,0.4,82.7,1.5,5.2,4.2,12.9,0.9,5.8,4.8,9.9,53.5,62.1,40.1,1370,1958,4.2,11.6,1.3,480.3
"244","2016","Biloxi, MS",5.7,8.1,25.4,2.5,60.4,15.5,8.2,4.6,7.1,1.8,14.6,21.6,43.6,46.4,66,28.5,798,1267,4.9,6.9,0.8,1184.5
"245","2016","Birch Bay, WA",9,8.3,18.6,2.6,92.3,7.8,5.3,3.5,15.9,6.4,12.3,14.6,29.5,45.7,56.8,37.8,1019,1400,5.2,16.6,2.9,506.1
"246","2016","Biscayne Park, FL",6.5,11,22.4,4.7,28.7,19.4,14.4,27.8,39.4,0,7.7,18.5,13.2,56.6,67.2,25.2,1189,2266,5.1,1.9,0,5166
"247","2016","Bishop, TX",6.5,9.3,18.8,2.6,23.1,11.6,8.9,11.6,8.1,0.7,16.7,16.1,28.4,46.4,58.5,38,676,1036,5.2,3.8,9.7,1332.4
"248","2016","Black Point-Green Point, CA",4.4,2.9,2.5,1.7,88.8,0,6.7,8,13.5,0,7.4,2.8,0.9,47.6,60.6,44.8,2476,3339,6.3,0,0,563.1
"249","2016","Blackhawk, CA",2.4,1,4.7,0,69,5,4.4,6.5,22.8,0.8,2.8,3.8,7.1,50.3,61.6,25.4,2866,4000,7.9,0,1.5,1632.1
"250","2016","Blacklake, CA",2,0,0,0,94.6,0,1.9,1.4,3.4,0,0,0,0,31.1,34.6,76.7,2113,2314,5.6,2.3,0,856.1
"251","2016","Blaine, WA",4.8,3.9,7.6,1.6,75.6,5.7,3.8,5.4,21.5,3.2,11.2,3.7,7,46.4,57.7,41.2,894,1837,5.5,2.4,4,893.3
"252","2016","Bloomfield, NJ",4.9,3.9,8.2,2.9,43.5,14.7,6.5,11.4,25.6,2.2,9.4,6.6,9.4,62.1,70,25.6,1260,2672,5.4,0,0,9035.9
"253","2016","Bloomingdale, FL",3.5,2.5,7,2.2,71.2,12.9,4.4,4.7,11,0.9,6,5,7.8,57.8,67.2,24,1488,1635,6.9,3.8,0.6,2784.4
"254","2016","Bloomingdale, GA",1.8,9.9,11.2,2.3,86.1,7.5,5.6,1.1,1.9,0.9,4.7,7.1,8.8,49.4,64.4,29.1,997,1244,5.7,17.8,0,212.3
"255","2016","Blue Hill, ME",8.5,1.6,12.2,0,97,0.9,2,0.3,1.4,6.5,18,5.7,8,57.5,68.6,31.8,742,868,5.3,5.9,4.2,42.7
"256","2016","Blue Lake, CA",3.3,4.8,19.9,3.5,84.1,9.4,5.7,0,1,0,6.2,7.1,11.7,53,61.2,33.5,1053,1520,4.9,13.9,7.2,1934.7
"257","2016","Blue Point, NY",4.7,1.8,3.9,2.7,89.3,13.4,7.5,1.5,4.9,0,7,2.8,5.1,68.2,73.4,35.2,1600,2927,6.3,0,0.3,2545.3
"258","2016","Bluetown, TX",6.4,21.4,41.3,16.7,2,30.7,0,34.2,27.4,0,27,43.7,46.7,59.8,62.5,34.3,424,606,4.8,31,0,139.8
"259","2016","Bluffton, SC",3.5,4,8.4,2.2,67.1,13.5,5.9,5.1,12.5,0.8,4,5,12.1,59.8,67.2,27.6,1370,1510,6,1.7,0.5,306.7
"260","2016","Boca Raton, FL",4,2.3,9.3,1.4,77,7.1,3.4,7.3,21.4,1.1,5.2,4.9,8.5,50.8,61,36.8,1500,2270,5.3,0.3,0.1,3127.9
"261","2016","Bogue, NC",2.3,3.6,3.9,2.3,90.4,7,3.4,2.4,2.7,1,4.6,1.7,2,56.4,68.8,28.2,859,1196,5.7,21.6,0,265.7
"262","2016","Bohemia, NY",3,5.8,5.6,1.9,88.3,11.2,5.1,3.3,6.3,1.5,3.6,4,9,61.7,68.2,30.4,1580,2908,5.8,9.8,0,1088.2
"263","2016","Boiling Spring Lakes, NC",5.6,12.5,5.7,3.7,85.5,10.7,7.8,2.6,5.4,1.4,7.9,4.2,4.8,65.9,74.2,29.1,790,1121,5.4,19.7,4.6,245.5
"264","2016","Bokeelia, FL",3.2,2.6,12.6,0,93.3,4.6,1.5,3.8,4,0,12.5,8.5,16.7,31.5,36,59.1,924,1308,4.2,13.8,8.8,160.1
"265","2016","Bolinas, CA",6.1,3.7,13.9,0,84.1,10.8,5.3,7.6,12.6,0.9,6.2,8.5,24.7,59.3,73.8,55.9,1806,4000,4.3,2.2,3.2,219.9
"266","2016","Bolivar Peninsula, TX",1.5,4.7,11.5,1.4,83.7,8.1,6.7,4.9,9,0,3.1,9,28.7,46,56.5,43.7,575,1656,4.7,11.9,3.3,50.6
"267","2016","Bolivia, NC",4.6,19.7,0.5,2.4,97.4,11.3,0,0,0,2.8,0,0,0,38.6,47.4,60.6,929,970,5.8,17.7,0,356
"268","2016","Bonita Springs, FL",3.1,5.6,14.7,1.3,72.5,6.8,3.9,12.4,20.5,1.3,4,9.3,34.2,36.3,45.1,58.6,1145,1635,5,15.7,0.6,1297.2
"269","2016","Bonita, CA",6,6.5,9.9,0.6,34.8,8.3,3.5,11.3,21.9,1.4,5,5.4,10.1,49.3,60.4,41.5,1746,2707,6.4,0.5,0.2,2568.4
"270","2016","Bonneau Beach, SC",11.9,11.7,16.2,0,95.5,9.1,2.3,0,0,2.3,8.3,11.1,31.1,42.5,57.3,48.4,653,1023,5.8,53.4,0,983
"271","2016","Bonneau, SC",10.4,15.5,25.7,5.3,87.5,10.1,10.9,0,0,0,20,21.1,35.8,41.5,57.3,21.8,700,1365,5.5,41.8,1.5,190
"272","2016","Bonney, TX",0.9,5.3,22.1,12.8,34.2,11.8,9.7,5.6,4.7,1.8,0,13.9,41.6,55.8,66.4,10.9,338,700,5.2,20.5,1.4,181.6
"273","2016","Bonny Doon, CA",1.3,2.5,12.6,0.4,84.6,3.2,3.7,1.1,7.2,0.4,7.2,5.9,9.1,56.6,60.2,33.8,1221,2735,6,0,1.5,186.8
"274","2016","Bonsall, CA",1.8,4.5,4.5,0.9,62.8,3.3,6.5,7.6,13.6,3.3,3.8,2.5,1.9,51.9,59.9,41.3,1393,3046,6,2.6,4.6,320.5
"275","2016","Boonville, CA",3.7,9.3,20,2.9,35.8,6.2,2.7,30.3,30.2,2.4,10.6,19.7,38.4,58.1,69.5,34.3,997,1712,4.2,2.7,30.7,155.2
"276","2016","Boothbay Harbor, ME",1.2,5.1,11.4,0.5,96.3,6.1,1.3,0.9,3.3,2.7,6.2,6.2,17,40,47.5,58.1,719,1377,5.5,5.5,3.5,346.8
"277","2016","Boothbay, ME",2.6,2.4,9.7,0,98.4,7.4,5.2,1.6,1.3,1.3,3,5.1,37.4,56.2,59,46,958,1334,5.9,10.8,6.8,141.5
"278","2016","Boothwyn, PA",5,5.8,6.7,5.6,81.9,17.7,9.7,1.2,3.2,2.2,2.9,4.8,5.8,51.3,61,37.8,928,1568,5.2,0,2.3,4394.2
